imp;EBL;EUS;EJR;EMR;ESN;ETG;ETN;ECC
IBL;0;13500;0;36900;240;5160;1140;3060
ICA;0;85914;0;0;0;86;0;0
IFR;13350;27450;450;49950;15150;25800;17400;0
IDL;13590;39060;0;14850;2700;2070;2970;14760
IIT;413;19293;2006;29559;708;2006;5074;0
IJP;0;45430;5390;15820;2450;980;0;0
INL;3074;15312;0;19140;2552;16356;638;870
ISP;228;3477;0;52269;0;855;114;0
IUK;1225;6566;0;28959;9849;392;2009;0
IIN;0;26312;10244;11804;2236;0;1352;0
IBR;272;50660;0;14416;136;0;2448;0
IPL;0;13202;2788;34030;328;5576;5658;20500
IRM;0;7912;4988;15910;43;1419;215;12470
IEE;0;2028;1404;14352;0;0;3432;56784
